OE;Produkt;Teilprodukt;Kostenartengruppe;2018 (Plan);Ertrag/Aufwand;Interne Leist. 
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;6   privatrechtliche Entgelte;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.01 VerkehrsOWi Polizei, fließender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;5   öffentlich-rechtliche Entgelte;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;7   Kostenerstattungen und Kostenumlagen;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;23   außerordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;6   privatrechtliche Entgelte;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.02 VerkehrsOWI Stadt, fließender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.03 VerkehrsOWI Polizei, ruhender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.04 VerkehrsOWI Stadt , ruhender Verkehr;23   außerordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;7   Kostenerstattungen und Kostenumlagen;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.05 Abschleppvorgänge;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;6   privatrechtliche Entgelte;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;11   sonstige ordentliche Erträge;0;Ertrag;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;13   Aufwendungen für aktives Personal;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;14   Aufwendungen für Versorgung;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;15   Aufwendungen für Sach-/Dienstleistungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;16   Abschreibungen;0;Aufwand;nein
(32) FB Bürger und Ordnung;1.100.1.2.2.09 Verkehrsüberwachung;1.100.1.2.2.09.06 Sonstige OWI;27   Aufw. aus int. Leistungsbeziehungen;0;Aufwand;ja
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.01 Rettungsdienst Verwaltung;19   sonstige ordentliche Aufwendungen;0;Aufwand;nein
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.01 Rettungsdienst Verwaltung;27   Aufw. aus int. Leistungsbeziehungen;-66469;Aufwand;ja
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.01 Rettungsdienst Verwaltung;3   Auflösungserträge aus Sonderposten;0;Ertrag;nein
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.01 Rettungsdienst Verwaltung;5   öffentlich-rechtliche Entgelte;0;Ertrag;nein
(37) Feuerwehr;1.100.1.2.7.01 Rettungsdienst;1.100.1.2.7.01.01 Rettungsdienst Verwaltung;6   privatrechtliche Entgelte;0;Ertrag;nein
